team,team_id,season,jersey,name,position,height,year,hometown,high_school,previous_school,url
Stony Brook,683,2025-26,2,Nal'La Bennett,G,"5'6""",Fr.,"Sicklerville, N.J.",Friends' Central,,https://stonybrookathletics.com/sports/womens-basketball/roster/nal-la-bennett/10245
Stony Brook,683,2025-26,3,Janay Brantley,G,"6'0""",Jr.,"Catskill, N.Y.",Catskill,,https://stonybrookathletics.com/sports/womens-basketball/roster/janay-brantley/10234
Stony Brook,683,2025-26,4,Ioanna Giannopoulou,G,"5'2""",So.,"Queens, N.Y.",Townsend Harris,,https://stonybrookathletics.com/sports/womens-basketball/roster/ioanna-giannopoulou/10236
Stony Brook,683,2025-26,5,Ebere Egbirika,G,"5'8""",Jr.,"London, England",City of London Academy Southwark,Odessa College,https://stonybrookathletics.com/sports/womens-basketball/roster/ebere-egbirika/10244
Stony Brook,683,2025-26,8,Johanna Potter,F,"6'0""",Fr.,"Stockbridge, Ga.",Wesleyan School,,https://stonybrookathletics.com/sports/womens-basketball/roster/johanna-potter/10248
Stony Brook,683,2025-26,9,Chloe Oliver,G,"5'8""",Jr.,"Montreal, Canada",Cegep Champlain,Davidson,https://stonybrookathletics.com/sports/womens-basketball/roster/chloe-oliver/10237
Stony Brook,683,2025-26,10,Diaka Berete,G,"5'9""",Gr.,"Toronto, Canada",Emma Lee Academy,Jackson State,https://stonybrookathletics.com/sports/womens-basketball/roster/diaka-berete/10239
Stony Brook,683,2025-26,12,Alonna Sellers,F,"6'1""",Gr.,"Hampton, Va.",Hampton,Central Connecticut State,https://stonybrookathletics.com/sports/womens-basketball/roster/alonna-sellers/10242
Stony Brook,683,2025-26,13,Alex Brown,F,"6'1""",Fr.,"Manassas, Va.",Osbourn Park,,https://stonybrookathletics.com/sports/womens-basketball/roster/alex-brown/10246
Stony Brook,683,2025-26,15,Melissa Mwanza,F,"6'2""",Jr.,"Harare, Zimbabwe",Life Christian Academy,Louisiana Tech,https://stonybrookathletics.com/sports/womens-basketball/roster/melissa-mwanza/10243
Stony Brook,683,2025-26,20,Sandra Frau Garcia,G,"5'7""",Gr.,"Pego, Spain",I.E.S l'Arabi,University of Chicago Illinois,https://stonybrookathletics.com/sports/womens-basketball/roster/sandra-frau-garcia/10240
Stony Brook,683,2025-26,21,Caitlin Frost,F,"6'1""",So.,"Les Coteaux, Quebec",Champlain College Saint-Lambert,St. Bonaventure,https://stonybrookathletics.com/sports/womens-basketball/roster/caitlin-frost/10241
Stony Brook,683,2025-26,22,Delaney Cooper,G,"5'9""",Fr.,"Atlanta, Ga.",Woodward Academy,,https://stonybrookathletics.com/sports/womens-basketball/roster/delaney-cooper/10247
Stony Brook,683,2025-26,23,Lauren Filien,F,"6'1""",Sr.,"Cohoes, N.Y.",The Winchendon School,,https://stonybrookathletics.com/sports/womens-basketball/roster/lauren-filien/10235
Stony Brook,683,2025-26,30,Khalis Whiting,G,"5'6""",Sr.,"Philadelphia, Pa.",Abington,,https://stonybrookathletics.com/sports/womens-basketball/roster/khalis-whiting/10238
Seattle,1356,2025-26,3,Ella Brubaker,Guard,,Graduate Student,"University Place, Wash.",Curtis HS,The Master's / Pepperdine,https://goseattleu.com/sports/womens-basketball/roster/player/ella-brubaker
Seattle,1356,2025-26,4,Fia Proctor,Forward,,Sophomore,"Bothell, Wash.",Bothell HS,Wyoming,https://goseattleu.com/sports/womens-basketball/roster/player/fia-proctor
Seattle,1356,2025-26,5,Dylan Mogel,Guard,,Freshman,"Clackamas, Ore.",Clackamas HS,,https://goseattleu.com/sports/womens-basketball/roster/player/dylan-mogel
Seattle,1356,2025-26,6,Andjela Bigovic,Forward,,Graduate Student,"Herceg Novi, Montenegro",Gimnazija Cetinje,Cochise College / Tarleton State,https://goseattleu.com/sports/womens-basketball/roster/player/andjela-bigovic
Seattle,1356,2025-26,7,Lucija Milkovic,Center,,Junior,"Sibenik, Croatia",Sibenik Medical School,Missouri,https://goseattleu.com/sports/womens-basketball/roster/player/lucija-milkovic
Seattle,1356,2025-26,8,Chloe Emanga,Guard,,Freshman,"Marbach Am Neckar, Germany",Universal School,,https://goseattleu.com/sports/womens-basketball/roster/player/chloe-emanga
Seattle,1356,2025-26,9,Jana Vesic,Guard,,Freshman,"Belgrade, Serbia",Central Pointe Christian Academy,,https://goseattleu.com/sports/womens-basketball/roster/player/jana-vesic
Seattle,1356,2025-26,14,Tamia Stricklin,Forward,,Redshirt Senior,"Renton, WA",Seattle Prep,Fresno State,https://goseattleu.com/sports/womens-basketball/roster/player/tamia-stricklin
Seattle,1356,2025-26,21,Aaliyah Ibarra,Guard,,Senior,"Las Vegas, Nev.",Centennial HS,Utah Tech,https://goseattleu.com/sports/womens-basketball/roster/player/aaliyah-ibarra
Seattle,1356,2025-26,22,Lucy Larson,Guard,,Sophomore,"Seattle, WA",West Seattle HS,,https://goseattleu.com/sports/womens-basketball/roster/player/lucy-larson
Seattle,1356,2025-26,24,Sydnie Rodriguez,Guard,,Sophomore,"Boise, ID",Owhyee HS,,https://goseattleu.com/sports/womens-basketball/roster/player/sydnie-rodriguez
Texas Christian,698,2025-26,0,Kennedy Basham,C,"6'7""",Senior,"Phoenix, Ariz.",PHH Prep,Arizona State / Oregon,https://gofrogs.com/sports/womens-basketball/roster/kennedy-basham/17508
Texas Christian,698,2025-26,1,Taylor Bigby,G,"6'1""",Redshirt Senior,"Las Vegas, Nev.",Centennial HS,USC / Oregon,https://gofrogs.com/sports/womens-basketball/roster/taylor-bigby/17497
Texas Christian,698,2025-26,2,Veronica Sheffey,G,"5'9""",Senior,"Woodinville, Wash.",Woodinville HS,San Diego State / San Diego,https://gofrogs.com/sports/womens-basketball/roster/veronica-sheffey/17505
Texas Christian,698,2025-26,4,Donovyn Hunter,G,,Junior,"Medford, Ore.",South Medford HS,Oregon State,https://gofrogs.com/sports/womens-basketball/roster/donovyn-hunter/17498
Texas Christian,698,2025-26,5,Olivia Miles,G,"5'10""",Graduate Student,"Phillipsburg, N.J.",Blair Academy,Notre Dame,https://gofrogs.com/sports/womens-basketball/roster/olivia-miles/17502
Texas Christian,698,2025-26,7,Marta Suarez,F,"6'3""",Graduate Student,"Oviedo, Spain",Joachim Blume Institute,Cal / Tennessee,https://gofrogs.com/sports/womens-basketball/roster/marta-suarez/17509
Texas Christian,698,2025-26,14,Natalie Mazurek,F,"6'2""",Graduate Student,"Eden Prairie, Minn.",Eden Prairie HS,South Dakota,https://gofrogs.com/sports/womens-basketball/roster/natalie-mazurek/17499
Texas Christian,698,2025-26,15,Sarah Portlock,C,"6'8""",Freshman,"Victoria, Australia",Centre of Excellence,,https://gofrogs.com/sports/womens-basketball/roster/sarah-portlock/17506
Texas Christian,698,2025-26,16,Clara Bielefeld,G,"6'4""",Freshman,"Recklinghausen, Germany",Citybasket Recklinghausen,,https://gofrogs.com/sports/womens-basketball/roster/clara-bielefeld/17504
Texas Christian,698,2025-26,17,Clara Silva,C,"6'7""",Sophomore,"Faro, Portugal",Escola Secundária de Fonseca Benevides,Kentucky,https://gofrogs.com/sports/womens-basketball/roster/clara-silva/17507
Texas Christian,698,2025-26,21,Taliyah Parker,G,"6'1""",Sophomore,"Oklahoma City, Okla.",South Grand Prairie HS,Texas A&M,https://gofrogs.com/sports/womens-basketball/roster/taliyah-parker/17510
Texas Christian,698,2025-26,22,Maddie Scherr,G,"5'10""",Graduate Student,"Florence, Ky.",Ryle HS,Kentucky / Oregon,https://gofrogs.com/sports/womens-basketball/roster/maddie-scherr/17500
Texas Christian,698,2025-26,23,Aaliyah Roberson,F,"6'2""",Senior,"San Antonio, Texas",Clark HS,,https://gofrogs.com/sports/womens-basketball/roster/aaliyah-roberson/17501
Texas Christian,698,2025-26,44,Emily Hunter,C,"6'7""",Freshman,"Nolensville, Tenn.",TPLS Christian Academy,,https://gofrogs.com/sports/womens-basketball/roster/emily-hunter/17503
Boston,68,2025-26,,Taylor Williams,G,5' 8'',Sophomore,"Ajax, Ontario",Crestwood Prep,,https://goterriers.com/sports/womens-basketball/roster/taylor-williams/26496
Boston,68,2025-26,,Aoibhe Gormley,G,5' 8'',Junior,"Quincy, Mass.",Thayer Academy,,https://goterriers.com/sports/womens-basketball/roster/aoibhe-gormley/26489
Boston,68,2025-26,,Aina Grane Torres,G,6' 0'',Junior,"Molins de Rei, Spain",Bernat el Ferrer,,https://goterriers.com/sports/womens-basketball/roster/aina-grane-torres/26490
Boston,68,2025-26,,Rose Azmoudeh,G,5' 9'',Sophomore,"Dix Hills, N.Y.",Half Hollow Hills East,,https://goterriers.com/sports/womens-basketball/roster/rose-azmoudeh/26497
Boston,68,2025-26,,Brooke Baisley,G,5' 10'',Sophomore,"Flanders, N.J.",Gill St. Bernard's,,https://goterriers.com/sports/womens-basketball/roster/brooke-baisley/26485
Boston,68,2025-26,,Bella McLaughlin,G,5' 8'',Junior,"Hampden, Maine",Hampden Academy,,https://goterriers.com/sports/womens-basketball/roster/bella-mclaughlin/26492
Boston,68,2025-26,,Inés Monteagudo Pardo,G,5' 11'',Junior,"Valencia, Spain",Martí Sorolla II School,,https://goterriers.com/sports/womens-basketball/roster/ins-monteagudo-pardo/26493
Boston,68,2025-26,,Hildur Gunnsteinsdóttir,G,5' 10'',Sophomore,"Selfoss, Iceland",Iceland U18 National Team,,https://goterriers.com/sports/womens-basketball/roster/hildur-gunnsteinsdttir/26491
Boston,68,2025-26,,Anete Adler,F,6' 5'',Senior,"Keila, Estonia",Audentes Sports Gymnasium,,https://goterriers.com/sports/womens-basketball/roster/anete-adler/26484
Boston,68,2025-26,,Audrey Ericksen,G,6' 0'',Junior,"Cary, N.C.",Green Level,,https://goterriers.com/sports/womens-basketball/roster/audrey-ericksen/26487
Boston,68,2025-26,,Kate Allard,F,6' 2'',Freshman,"Bedford, N.H.",New Bedford,,https://goterriers.com/sports/womens-basketball/roster/kate-allard/26498
Boston,68,2025-26,,Anastasiia Semenova,F,6' 2'',Senior,"Saint Petersburg, Russia",College of Olympic Reserve No. 1,,https://goterriers.com/sports/womens-basketball/roster/anastasiia-semenova/26495
Boston,68,2025-26,,Inez Gallegos,F,6' 0'',Sophomore,"San Francisco, Calif.",Sacred Heart Cathedral Prep,,https://goterriers.com/sports/womens-basketball/roster/inez-gallegos/26488
Boston,68,2025-26,,Allison Schwertner,F,6' 3'',Sophomore,"Littleton, Colo.",Mullen,,https://goterriers.com/sports/womens-basketball/roster/allison-schwertner/26494
Boston,68,2025-26,,Sisi Bentley,F,6' 0'',Junior,"Hartford, Conn.",Northfield Mount Hermon,,https://goterriers.com/sports/womens-basketball/roster/sisi-bentley/26486
Towson,711,2025-26,0,Masyn Marchbanks,G,"5'8""",Sr.,"Hartselle, Ala.",Hartselle H.S.,Samford,https://towsontigers.com/sports/womens-basketball/roster/masyn-marchbanks/24292
Towson,711,2025-26,1,Semaya Turner,G,"5'11""",Sr.,"Rockaway, N.J.",Morris Hills H.S.,Saint Francis,https://towsontigers.com/sports/womens-basketball/roster/semaya-turner/24291
Towson,711,2025-26,2,India Johnston,G,"5'8""",Sr.,"Bear, Del.",Caravel Academy,,https://towsontigers.com/sports/womens-basketball/roster/india-johnston/24289
Towson,711,2025-26,3,Nadeya Regala,G,"5'9""",Fr.,"Waldorf, Md.",Elizabeth Seton H.S.,,https://towsontigers.com/sports/womens-basketball/roster/nadeya-regala/24294
Towson,711,2025-26,4,Shariah Baynes,G,"5'6""",So.,"Philadelphia, Pa.",Paul VI H.S.,,https://towsontigers.com/sports/womens-basketball/roster/shariah-baynes/24288
Towson,711,2025-26,5,Kayla Morris,F,"6'2""",R-Sr.,"Harlem, N.Y.",Montverde Academy,Cal State Bakersfield,https://towsontigers.com/sports/womens-basketball/roster/kayla-morris/24293
Towson,711,2025-26,6,Viki Matulevicius,G,"5'8""",R-Fr.,"Willowbrook, Ill.",Montini Catholic H.S.,South Dakota,https://towsontigers.com/sports/womens-basketball/roster/viki-matulevicius/24298
Towson,711,2025-26,7,Hannah Dereje,F/C,"6'3""",Gr.,"Burtonsville, Md.",Elizabeth Seton H.S.,Elon,https://towsontigers.com/sports/womens-basketball/roster/hannah-dereje/24297
Towson,711,2025-26,8,Jillian Watson,G,"5'7""",Fr.,"Chesterfield, N.J.",Northern Burlington H.S.,,https://towsontigers.com/sports/womens-basketball/roster/jillian-watson/24300
Towson,711,2025-26,9,Tilda Sjökvist,G,"5'7""",Sr.,"Huskvarna, Sweden",Sanda Gymnasiet,Missouri,https://towsontigers.com/sports/womens-basketball/roster/tilda-sj-kvist/24302
Towson,711,2025-26,11,Thalia Shepard,G,"5'9""",Jr.,"Boston, Mass.",St. Andrew's School,Merrimack,https://towsontigers.com/sports/womens-basketball/roster/thalia-shepard/24301
Towson,711,2025-26,13,Zoli Khalil,G,"6'0""",Jr.,"Rockingham, Va.",Spotswood H.S.,Virginia Commonwealth,https://towsontigers.com/sports/womens-basketball/roster/zoli-khalil/24303
Towson,711,2025-26,15,Asya Lara Barnes,G,"6'0""",Fr.,"Istanbul, Turkey",DME Academy,,https://towsontigers.com/sports/womens-basketball/roster/asya-lara-barnes/24299
Towson,711,2025-26,25,Jaymee Wadey,F/C,"6'2""",Fr.,"Melbourne, Australia",Rowville Sports Academy,,https://towsontigers.com/sports/womens-basketball/roster/jaymee-wadey/24296
Towson,711,2025-26,31,Aidan Langley,F,"6'1""",Fr.,"Coatesville, Pa.",Westtown School,,https://towsontigers.com/sports/womens-basketball/roster/aidan-langley/24295
Tennessee Tech,692,2025-26,1,Lyriq Mastin,G,5-6,Freshman,"Murfreesboro, Tenn.",Blackman HS,,https://www.ttusports.com/sports/wbkb/2025-26/bios/mastin_lyriq_ruqo
Tennessee Tech,692,2025-26,2,Cam Mathews,G,5-7,Senior,"Keller, Texas",,Tulsa,https://www.ttusports.com/sports/wbkb/2025-26/bios/mathews_cam_ug1s
Tennessee Tech,692,2025-26,3,Amaya Thomas,G,5-8,Junior,"Nashville, Tenn.",,Trevecca,https://www.ttusports.com/sports/wbkb/2025-26/bios/thomas_amaya_eeb6
Tennessee Tech,692,2025-26,4,LaReesha Cawthorn,F,6-0,Freshman,"Franklin, Ky.",Franklin Simpson HS,,https://www.ttusports.com/sports/wbkb/2025-26/bios/cawthorn_lareesha_qehj
Tennessee Tech,692,2025-26,5,Amelia Pfeiffer,C,6-2,Sophomore,"Alcoa, Tenn.",Alcoa HS,,https://www.ttusports.com/sports/wbkb/2025-26/bios/pfeiffer_amelia_0bw3
Tennessee Tech,692,2025-26,10,Reagan Hurst,G,5-10,Graduate Student,"Baxter, Tenn.",Upperman HS,,https://www.ttusports.com/sports/wbkb/2025-26/bios/hurst_reagan_4x1z
Tennessee Tech,692,2025-26,21,Chloe Larry,G,5-8,Sophomore,"Bossier City, La.",Parkway HS,,https://www.ttusports.com/sports/wbkb/2025-26/bios/larry_chloe_2ds7
Tennessee Tech,692,2025-26,23,Amaya Redd,F,5-10,Freshman,"Knoxville, Tenn.",Knoxville Catholic,,https://www.ttusports.com/sports/wbkb/2025-26/bios/redd_amaya_cdp3
Tennessee Tech,692,2025-26,30,Maddy Newman,F/C,6-1,Sophomore,"Gatlinburg, Tenn.",Gatlinburg-Pittman HS,,https://www.ttusports.com/sports/wbkb/2025-26/bios/newman_maddy_b1et
Tennessee Tech,692,2025-26,32,Sofi Miller,F,6-2,Freshman,"Orlando, Fla.",The First Academy,,https://www.ttusports.com/sports/wbkb/2025-26/bios/miller_sofi_zmcf
Tennessee Tech,692,2025-26,33,Reghan Grimes,G,5-10,Senior,"Nashville, Tenn.",Ravenwood HS,,https://www.ttusports.com/sports/wbkb/2025-26/bios/grimes_reghan_0j3i
Tennessee Tech,692,2025-26,44,Angelika Girgenson,G,5-7,Sophomore,"Zwolle, Netherlands",Orange Lions Academy,,https://www.ttusports.com/sports/wbkb/2025-26/bios/girgenson_angelika_asmj
Texas State,670,2025-26,1,Takeira Ramey,G,"5'7""",So.,"Stafford, Virginia",Massaponax HS,,https://txst.com/sports/womens-basketball/roster/takeira-ramey/12186
Texas State,670,2025-26,2,KP Parr,G,"5'4""",So.,"Waco, Texas",La Vega HS,Wichita State,https://txst.com/sports/womens-basketball/roster/kp-parr/12269
Texas State,670,2025-26,3,Saniya Burks,G,"5'8""",So.,"Mexia, Texas",Rice HS,,https://txst.com/sports/womens-basketball/roster/saniya-burks/12183
Texas State,670,2025-26,4,Myla Harbor,G/F,"5'11""",Jr.,"Ferriday, LA",Ferriday HS,Hinds CC,https://txst.com/sports/womens-basketball/roster/myla-harbor/12265
Texas State,670,2025-26,5,Myri Walker,G,"5'4""",Sr.,"Burleson, Texas",Burleson Centennial HS,South Alabama,https://txst.com/sports/womens-basketball/roster/myri-walker/12271
Texas State,670,2025-26,10,Angela Carroll,F,"6'1""",Fr.,"Waco, Texas",La Vega HS,,https://txst.com/sports/womens-basketball/roster/angela-carroll/12264
Texas State,670,2025-26,11,Mia Galbraith,G,"5'9""",R-So.,"Sunshine Coast, Australia",Lake Travis HS,Oklahoma State,https://txst.com/sports/womens-basketball/roster/mia-galbraith/12184
Texas State,670,2025-26,12,Kyla McBride,F,"6'0""",Jr.,"Magnolia, AR",Waxahachie HS,Northwest Florida State,https://txst.com/sports/womens-basketball/roster/kyla-mcbride/12267
Texas State,670,2025-26,13,Taleiyah Gibbs,G,"6'0""",Jr.,"Charleston, South Carolina",Killeen HS,Howard,https://txst.com/sports/womens-basketball/roster/taleiyah-gibbs/12185
Texas State,670,2025-26,20,Kyaija Stewart,F,"6'0""",Jr.,"Ithaca, NY",Tampa Catholic HS,Daytona State,https://txst.com/sports/womens-basketball/roster/kyaija-stewart/12270
Texas State,670,2025-26,21,Kaliyah Murphy,F,"6'0""",Fr.,"Chandler, AZ",Elizabeth Seton HS,,https://txst.com/sports/womens-basketball/roster/kaliyah-murphy/12268
Texas State,670,2025-26,22,Deja Jones,G,"5'9""",Gr.,"San Antonio, Texas",East Central HS,Indiana State,https://txst.com/sports/womens-basketball/roster/deja-jones/12266
Texas State,670,2025-26,33,Kyra Anderson,F,"6'1""",So.,"Huntington, Texas",Huntington HS,Tyler Junior College,https://txst.com/sports/womens-basketball/roster/kyra-anderson/12263
UAB,9,2025-26,1,Eleecia Carter,Guard ,"5'7""",Redshirt Sophomore,"Winter Garden, Fla.",Lake Highlands Preparatory Academy,Chattanooga,https://uabsports.com/sports/womens-basketball/roster/eleecia-carter/11322
UAB,9,2025-26,3,Journey Armstead,Guard ,"5'8""",Senior,"Tulsa, Okla.",Charles Page HS,Hutchinson Community College,https://uabsports.com/sports/womens-basketball/roster/journey-armstead/11321
UAB,9,2025-26,10,Riley Talbert,Guard ,"5'10""",Redshirt Freshman,"Amelia Island, Fla.",Bishop Kenny HS,,https://uabsports.com/sports/womens-basketball/roster/riley-talbert/11325
UAB,9,2025-26,11,Peyton Musial,Guard,"5'11""",Freshman,"De Pere, Wisc.",Notre Dame Academy,,https://uabsports.com/sports/womens-basketball/roster/peyton-musial/11400
UAB,9,2025-26,12,Molly Moffitt,Forward,"6'1""",Senior,"Seattle, Wash.",Seattle Prep,Putnam Science Academy,https://uabsports.com/sports/womens-basketball/roster/molly-moffitt/11323
UAB,9,2025-26,13,Samari Taylor,Forward,"6'3""",Junior,"Louisville, Ky.",Ballard HS,Three Rivers CC,https://uabsports.com/sports/womens-basketball/roster/samari-taylor/11404
UAB,9,2025-26,14,Monae' Duffy,Forward,"5'10""",Senior,"Lafayette, La.",Lafayette Christian Academy,Texas A&M-Corpus Christi/Hutchinson CC,https://uabsports.com/sports/womens-basketball/roster/monae-duffy/11402
UAB,9,2025-26,20,Sofia Munoz,Guard,"5'8""",Freshman,"Canovanas, Puerto Rico",Lake Highland Prep,,https://uabsports.com/sports/womens-basketball/roster/sofia-munoz/11399
UAB,9,2025-26,21,Lika Kvirkvelia,Forward,"6'4""",Redshirt Sophomore,"Kobuleti, Georgia",Tbilisi Public School,Xavier,https://uabsports.com/sports/womens-basketball/roster/lika-kvirkvelia/11405
UAB,9,2025-26,23,Cali Smallwood,Guard ,"5'9""",Junior,"Blountsville, Ala.",Susan Moore HS,Montevallo,https://uabsports.com/sports/womens-basketball/roster/cali-smallwood/11324
UAB,9,2025-26,24,Jordan Rosier,Guard,"5'9""",Graduate Student,"Tallahassee, Fla.",Florida State University HS,South Alabama,https://uabsports.com/sports/womens-basketball/roster/jordan-rosier/11401
UAB,9,2025-26,30,Ashlyn Howard,Forward,"6'1""",Freshman,"Trussville, Ala.",Hewitt Trussville HS,,https://uabsports.com/sports/womens-basketball/roster/ashlyn-howard/11397
UAB,9,2025-26,31,Mari Miller,Guard,"5'11""",Freshman,"Columbia, Mo.",Rock Bridge HS,,https://uabsports.com/sports/womens-basketball/roster/mari-miller/11398
Arkansas-Pine Bluff,2678,2025-26,00,Jakyra Jackson,G,"5'8""",Fr.,"West Helena, AR",,,https://uapblionsroar.com/sports/womens-basketball/roster/jakyra-jackson/4884
Arkansas-Pine Bluff,2678,2025-26,1,Jailah Pelly,G,"5'10""",Jr.,"St. Louis, MO",,,https://uapblionsroar.com/sports/womens-basketball/roster/jailah-pelly/4878
Arkansas-Pine Bluff,2678,2025-26,2,Jasmine Davis,G,"5'8""",Jr.,"Little Rock, AR",,,https://uapblionsroar.com/sports/womens-basketball/roster/jasmine-davis/4879
Arkansas-Pine Bluff,2678,2025-26,3,Indiya Bowen,G,"5'8""",Jr.,"Horn Lake, MS",,,https://uapblionsroar.com/sports/womens-basketball/roster/indiya-bowen/4880
Arkansas-Pine Bluff,2678,2025-26,4,Briontanay Marshall,C,"6'2""",Sr.,"Louisville, KY",,,https://uapblionsroar.com/sports/womens-basketball/roster/briontanay-marshall/4877
Arkansas-Pine Bluff,2678,2025-26,5,Briah Hampton,F,"6'2""",Sr.,"Memphis, TN",,,https://uapblionsroar.com/sports/womens-basketball/roster/briah-hampton/4881
Arkansas-Pine Bluff,2678,2025-26,10,Alayiah Price,G,"5'9""",Fr.,"West Memphis, AR",,,https://uapblionsroar.com/sports/womens-basketball/roster/alayiah-price/4882
Arkansas-Pine Bluff,2678,2025-26,12,Kristyna Boyd,G,"5'9""",Sr.,"Memphis, TN",,,https://uapblionsroar.com/sports/womens-basketball/roster/kristyna-boyd/4876
Arkansas-Pine Bluff,2678,2025-26,13,Jayla Cornelius,G,"5'8""",So.,"Blue Springs, MO",,,https://uapblionsroar.com/sports/womens-basketball/roster/jayla-cornelius/4883
Arkansas-Pine Bluff,2678,2025-26,21,Ruth Banjoko,F,"6'0""",Fr.,"London, England",,,https://uapblionsroar.com/sports/womens-basketball/roster/ruth-banjoko/4885
Arkansas-Pine Bluff,2678,2025-26,22,Jada James,G,"5'5""",Fr.,"Arlington, TX",,,https://uapblionsroar.com/sports/womens-basketball/roster/jada-james/4886
Arkansas-Pine Bluff,2678,2025-26,24,Tyra Taylor,F,"5'11""",Fr.,"West Memphis, AR",,,https://uapblionsroar.com/sports/womens-basketball/roster/tyra-taylor/4887
Arkansas-Pine Bluff,2678,2025-26,25,Khaniah Gardner,F/C,"6'2""",Jr.,"Chicago, IL",,,https://uapblionsroar.com/sports/womens-basketball/roster/khaniah-gardner/4888
Arkansas-Pine Bluff,2678,2025-26,35,Zoey Davis,F,"6'2""",So.,"Portland, OR",,,https://uapblionsroar.com/sports/womens-basketball/roster/zoey-davis/4889
Central Arkansas,1004,2025-26,1,Jenna Cook,G,"5'6""",So.,"Cabot, Ark.",Cabot HS,,https://ucasports.com/sports/womens-basketball/roster/jenna-cook/10688
Central Arkansas,1004,2025-26,2,Julianna Gibson,F,"6'2""",Sr.,"Colts Neck, N.J.",,St. Francis,https://ucasports.com/sports/womens-basketball/roster/julianna-gibson/10692
Central Arkansas,1004,2025-26,4,Cheyanne Kemp,G,"5'8""",Jr.,"Morrilton, Ark.",Morrilton HS,,https://ucasports.com/sports/womens-basketball/roster/cheyanne-kemp/10690
Central Arkansas,1004,2025-26,5,Bree Stephens,F,"6'0""",Gr.,"Townsville, Australia",St. Margaret Mary College,Dodge City CC,https://ucasports.com/sports/womens-basketball/roster/bree-stephens/10691
Central Arkansas,1004,2025-26,6,Carla Ramirez,G,"5'10""",Fr.,"Malaga, Spain",,,https://ucasports.com/sports/womens-basketball/roster/carla-ramirez/10693
Central Arkansas,1004,2025-26,9,Paris Santacaterina,G,"5'7""",Jr.,"Mackay, Australia",,San Diego,https://ucasports.com/sports/womens-basketball/roster/paris-santacaterina/10694
Central Arkansas,1004,2025-26,11,Emerie Bohanon,G,"5'7""",Fr.,"Conway, Ark.",Conway HS,,https://ucasports.com/sports/womens-basketball/roster/emerie-bohanon/10695
Central Arkansas,1004,2025-26,12,Laylah Reese,G,"5'8""",Jr.,"Cabot, Ark.",Cabot HS,Three Rivers College,https://ucasports.com/sports/womens-basketball/roster/laylah-reese/10696
Central Arkansas,1004,2025-26,13,Alexis Cox,G,"5'8""",Fr.,"Conway, Ark.",Conway HS,,https://ucasports.com/sports/womens-basketball/roster/alexis-cox/10697
Central Arkansas,1004,2025-26,20,Shae Littleford,G,"5'8""",Gr.,"Charleston, Ill.",,UT Martin,https://ucasports.com/sports/womens-basketball/roster/shae-littleford/10698
Central Arkansas,1004,2025-26,22,Alivia Cox,F,"5'9""",Fr.,"Conway, Ark.",Conway HS,,https://ucasports.com/sports/womens-basketball/roster/alivia-cox/10699
Central Arkansas,1004,2025-26,23,Kaidyn Beckwith,G,"5'4""",Jr.,"Conway, Ark.",Conway HS,,https://ucasports.com/sports/womens-basketball/roster/kaidyn-beckwith/10687
Central Arkansas,1004,2025-26,24,Kamryn Griffin,F,"5'11""",So.,"San Antonio, Texas",Clark HS,,https://ucasports.com/sports/womens-basketball/roster/kamryn-griffin/10689
Central Arkansas,1004,2025-26,25,Linda Amaning,F,"6'1""",So.,"Dijon, France",,Saint Peters,https://ucasports.com/sports/womens-basketball/roster/linda-amaning/10700
UC Davis,108,2025-26,1,Carrington Davis,G,"5'10""",Fr.,"Rialto, Calif.",Rialto High School,,https://ucdavisaggies.com/sports/womens-basketball/roster/carrington-davis/19445
UC Davis,108,2025-26,2,Ryann Bennett,G,"5'8""",So.,"Long Beach, Calif.",St. Anthony's HS,,https://ucdavisaggies.com/sports/womens-basketball/roster/ryann-bennett/19431
UC Davis,108,2025-26,3,Sahana Kanagasabay,G,"5'11""",R-So.,"Surrey, British Columbia",,Providence,https://ucdavisaggies.com/sports/womens-basketball/roster/sahana-kanagasabay/19434
UC Davis,108,2025-26,4,Nya Epps,G,"5'10""",Sr.,"El Cerrito, Calif.",Carondelet HS,,https://ucdavisaggies.com/sports/womens-basketball/roster/nya-epps/19432
UC Davis,108,2025-26,5,Ally Fitzgerald,F,"6'2""",Sr.,"St. Louis, Mo.",Marquette HS,Colorado,https://ucdavisaggies.com/sports/womens-basketball/roster/ally-fitzgerald/19433
UC Davis,108,2025-26,6,Helen Matthews,G,"5'10""",Gr.,"Kaiapoi, NZ",Kaiapoi,Wofford College,https://ucdavisaggies.com/sports/womens-basketball/roster/helen-matthews/19448
UC Davis,108,2025-26,9,Avery Sussex,G,"5'8""",So.,"Coquitlam, British Columbia",Riverside Secondary,,https://ucdavisaggies.com/sports/womens-basketball/roster/avery-sussex/19436
UC Davis,108,2025-26,10,Tegan Young,F,"6'1""",Jr.,"Leominster, MA",Lawrence Academy,Manhattan University,https://ucdavisaggies.com/sports/womens-basketball/roster/tegan-young/19449
UC Davis,108,2025-26,11,Emmy Ersdala,G,"6'1""",Fr.,"Vasteras, Sweden",Hagagymnasiet,Swedish National Team,https://ucdavisaggies.com/sports/womens-basketball/roster/emmy-ersdala/19447
UC Davis,108,2025-26,15,Sophie Lentfer,G,"6'0""",Fr.,"Anchorage, Alaska",Grace Christian,,https://ucdavisaggies.com/sports/womens-basketball/roster/sophie-lentfer/19446
